EquipmentId,latitude,longitude,speed,odometer reading,eventDate,eventGeneratedTime
EQPT-4,12.9662083,74.9362616,49,839501,1716229800000,1716279891000
EQPT-4,12.9666633,74.93697,49,839594,1716229800000,1716279898000
EQPT-4,12.967075,74.9378366,47,839712,1716229800000,1716279907000
EQPT-4,12.9676099,74.9386466,47,839818,1716229800000,1716279915000
EQPT-4,12.96811,74.939455,40,839922,1716229800000,1716279923000
EQPT-4,12.9686066,74.9403349,40,840021,1716229800000,1716279932000
EQPT-4,12.96914,74.9411266,31,840137,1716229800000,1716279943000
EQPT-4,12.969775,74.9419133,38,840248,1716229800000,1716279954000
EQPT-4,12.9700483,74.9423549,30,840305,1716229800000,1716279960000
EQPT-4,12.9704899,74.9431716,32,840407,1716229800000,1716279971000
EQPT-4,12.9710049,74.94397,27,840511,1716229800000,1716279983000
EQPT-4,12.971275,74.9443683,27,840563,1716229800000,1716279990000
EQPT-4,12.9716766,74.9448633,30,840633,1716229800000,1716279998000
EQPT-4,12.9721949,74.9456883,32,840740,1716229800000,1716280010000
EQPT-4,12.9726933,74.9464833,32,840842,1716229800000,1716280021000
EQPT-4,12.9732066,74.9472399,42,840942,1716229800000,1716280031000
EQPT-4,12.97369,74.9480283,42,841043,1716229800000,1716280039000
EQPT-4,12.974105,74.9488949,42,841148,1716229800000,1716280048000
EQPT-4,12.9743,74.9491566,44,841210,1716229800000,1716280051000
EQPT-4,12.9750433,74.94978,45,841291,1716229800000,1716280059000
EQPT-4,12.975265,74.9500266,43,841327,1716229800000,1716280062000
EQPT-4,12.9758566,74.9508466,39,841438,1716229800000,1716280071000
EQPT-4,12.9759366,74.95103,40,841492,1716229800000,1716280073000
EQPT-4,12.9760966,74.951375,35,841502,1716229800000,1716280077000
EQPT-4,12.9765133,74.9518216,35,841569,1716229800000,1716280084000
EQPT-4,12.9766566,74.9520466,35,841599,1716229800000,1716280087000
EQPT-4,12.9770999,74.9524916,35,841668,1716229800000,1716280094000
EQPT-4,12.9777399,74.9529016,38,841752,1716229800000,1716280102000
EQPT-4,12.9785799,74.9533566,40,841858,1716229800000,1716280111000
EQPT-4,12.9793316,74.9539516,41,841963,1716229800000,1716280120000
EQPT-4,12.9799333,74.9543483,40,842043,1716229800000,1716280127000
EQPT-4,12.9802466,74.9544783,43,842092,1716229800000,1716280130000
EQPT-4,12.9811716,74.95458,45,842184,1716229800000,1716280138000
EQPT-4,12.98208,74.9547316,38,842287,1716229800000,1716280147000
EQPT-4,12.9823633,74.9548466,38,842343,1716229800000,1716280150000
EQPT-4,12.9831483,74.9553533,41,842425,1716229800000,1716280159000
EQPT-4,12.9840516,74.9556449,42,842531,1716229800000,1716280168000
EQPT-4,12.9849866,74.9559983,42,842641,1716229800000,1716280177000
EQPT-4,12.985465,74.9562016,40,842699,1716229800000,1716280182000
EQPT-4,12.9859833,74.95659,30,842772,1716229800000,1716280189000
EQPT-4,12.986055,74.956605,28,842780,1716229800000,1716280190000
EQPT-4,12.986205,74.9566033,27,842797,1716229800000,1716280192000
EQPT-4,12.986265,74.95657,25,842820,1716229800000,1716280193000
EQPT-4,12.9863233,74.9565233,26,842820,1716229800000,1716280194000
EQPT-4,12.9865166,74.95637,20,842834,1716229800000,1716280198000
EQPT-4,12.9865466,74.9562783,19,842850,1716229800000,1716280200000
EQPT-4,12.9865433,74.95622,23,842857,1716229800000,1716280201000
EQPT-4,12.9866083,74.9557016,27,842906,1716229800000,1716280208000
EQPT-4,12.9866633,74.9555666,29,842939,1716229800000,1716280210000
